Cinput1	 Cinput2	 K0	 v0	 ero_rate	 depo_rate1	 depo_rate2	 RRMSE
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000600	 -0.001500	 5.640992
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000600	 -0.001000	 5.972523
14.000000	 19.000000	 0.000500	 0.020000	 0.000700	 -0.000600	 -0.000500	 6.408500
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.001000	 -0.003000	 4.583358
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.001000	 -0.002500	 4.538464
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.001000	 -0.002000	 4.580930
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.001000	 -0.001500	 4.722075
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.001000	 -0.001000	 4.965298
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.001000	 -0.000500	 5.307438
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000800	 -0.003000	 4.566019
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000800	 -0.002500	 4.520954
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000800	 -0.002000	 4.563582
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000800	 -0.001500	 4.705248
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000800	 -0.001000	 4.949298
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000800	 -0.000500	 5.292472
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000600	 -0.003000	 4.569909
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000600	 -0.002500	 4.524882
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000600	 -0.002000	 4.567474
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000600	 -0.001500	 4.709023
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000600	 -0.001000	 4.952887
14.000000	 19.000000	 0.000500	 0.030000	 0.000100	 -0.000600	 -0.000500	 5.295828
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.001000	 -0.003000	 4.549985
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.001000	 -0.002500	 4.504759
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.001000	 -0.002000	 4.547540
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.001000	 -0.001500	 4.689690
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.001000	 -0.001000	 4.934509
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.001000	 -0.000500	 5.278645
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000800	 -0.003000	 4.532519
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000800	 -0.002500	 4.487117
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000800	 -0.002000	 4.530064
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000800	 -0.001500	 4.672746
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000800	 -0.001000	 4.918409
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000800	 -0.000500	 5.263597
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000600	 -0.003000	 4.536438
14.000000	 19.000000	 0.000500	 0.030000	 0.000300	 -0.000600	 -0.002500	 4.491075
